"symbol","name","summary","currency","sector","industry_group","industry","exchange","market","country","state","city","zipcode","website","market_cap","is_active"
"ARIES.NS","Aries Agro Limited","Aries Agro Limited, together with its subsidiaries, engages in the manufacture and supply of micronutrients and other nutritional products for plants and animals in India, Nepal, the United Arab Emirates, Taiwan, Australia, New Zealand, Chile, the United Kingdom, and internationally. It offers plant protection, aqua culture and animal nutrition, specialty nutrients, water soluble NPK, bio-stimulants, crop specific formulations, hydroponic nutrient formulations, and other products. The company was incorporated in 1969 and is headquartered in Mumbai, India.","INR","Basic Materials","Agricultural Inputs","Agricultural Inputs","NSE","NSE India","India",NULL,"Mumbai","400043","https://www.ariesagro.com","3664615936.0","1"
"ALKEM.NS","Alkem Laboratories Limited","Alkem Laboratories Limited, a pharmaceutical company, engages in the development, manufacture, and sale of pharmaceutical and nutraceutical products in India and internationally. The company offers branded generics, generic drugs, active pharmaceutical ingredients, and biosimilars, and nutraceuticals in acute and chronic therapeutic areas comprising anti-infective, dermatology, cardiac, respiratory, gastro-intestinal, central nervous system, urology, and gynaecology, as well as vitamins, minerals, and nutrients; and pain analgesic, anti-diabetic, and neurology products. Alkem Laboratories Limited was incorporated in 1973 and is headquartered in Mumbai, India.","INR","Healthcare","Drug Manufacturers - Specialty & Generic","Drug Manufacturers - Specialty & Generic","NSE","NSE India","India",NULL,"Mumbai","400013","https://www.alkemlabs.com","581815238656.0","1"
"ATALREAL.NS","Atal Realtech Limited","Atal Realtech Limited, a construction company, provides integrated civil works contracting and engineering services for structural construction and infrastructure sector projects in India. The company is involved in contracting and sub-contracting for various government and private projects, which include construction of commercial and industrial structures. It trades in construction materials. Atal Realtech Limited was incorporated in 2012 and is based in Nashik, India.","INR","Industrials","Engineering & Construction","Engineering & Construction","NSE","NSE India","India",NULL,"Nashik","422002","https://www.atalrealtech.com","1028779328.0","1"
"APARINDS.NS","Apar Industries Limited","Apar Industries Limited engages in the electrical and metallurgical engineering business in India. The company offers transformer oils, including naphthenic and iso--paraffinic grades; liquid paraffins that are used in baby oil, medical and pharma, cosmetic, food packaging and coating, personal care, bakery, and plastic industries; petroleum jelly for use in personal care, pharmaceutical formulations, dermatological and ophthalmic formulations, battery terminal compounds, release agents for plaster molds and castings, and personal care and leather industries; process oils for rubber and tires, EPDM rubber/profiles, low PCA oils, TPE and plastics, hot melt adhesives, and ink oils; base oils for metal working fluids; and process oils for general applications. It also provides CTC/PICC conductors, railway overhead conductors, T&D overhead conductors, optical ground wires, aluminum and alloy rods, specialty wires, and turnkey solutions, as well as copper rods, wires, busbars, and strips; and electrical cables, elastomer and E-beam cables, light duty cables and wires, fiber optic cables, and specialty products and services. In addition, the company offers thermoplastic elastomers, thermoplastic vulcanizates, zero halogen flame-retardant materials, various other polymer compounds, and customizable products under the Aparprene brand; automotive and industrial lubricants; and specialty automotive products comprising batteries and lubricants, and diesel exhaust fluids or power oils, as well as vehicle care services. It provides its products and services for applications in various fields, including in power transmission conductors, petroleum specialty oils, power and telecommunication cables, and house wires. The company also exports its products. Apar Industries Limited was founded in 1958 and is headquartered in Mumbai, India.","INR","Industrials","Electrical Equipment & Parts","Electrical Equipment & Parts","NSE","NSE India","India",NULL,"Mumbai","400071","https://www.apar.com","285170827264.0","1"
"20MICRONS.NS","20 Microns Limited","20 Microns Limited engages in the industrial micronized minerals and specialty chemicals businesses primarily in India and internationally. The company offers industrial minerals, such as ground calcium, carbonate, dolomite, hydrous and calcined kaolins, talcs, natural barytes, silica/quartz, muscovite mica, feldspar/nepheline syenite, diatomaceous and siliceoaus earth, bentonite and attapulgite, and natural red oxide. It also provides functional additives, including white, buff and colored, rutile TiO2, white pigment opacifiers, synthetic barium sulphate, micronized wax, anti-blocking and rheological additives, matting agents, inorganic thickeners, flame retardants, calcium oxide desiccant, activators for rubber, high aspect ratio talc, sub-micron CaCO3, and decorative colored quartz sand; and fumed, precipitated, and amorphous silica. It serves paints and coatings, inks and pigments, plastics and polymer, paper, rubber, cosmetics, ceramics, adhesive and sealant, oil-well drilling, agrochemicals, and foundry and other industries. 20 Microns Limited was incorporated in 1987 and is headquartered in Vadodara, India.","INR","Basic Materials","Other Industrial Metals & Mining","Other Industrial Metals & Mining","NSE","NSE India","India",NULL,"Vadodara","391760","https://www.20microns.com","5458294272.0","1"
"21STCENMGM.NS","21st Century Management Services Limited","Twentyfirst Century Management Services Limited engages in investments in instruments in India. It trades in shares and securities in the capital, and futures and options markets. The company was incorporated in 1986 and is based in Mumbai, India.","INR","Financial Services","Capital Markets","Capital Markets","NSE","NSE India","India",NULL,"Mumbai","400015","https://www.tcms.bz","497060992.0","1"
"360ONE.NS","360 ONE WAM LIMITED","360 One Wam Limited offers wealth and asset management services primarily in India. The company operates through Wealth Management and Asset Management segments. It offers wealth management products and services, such as financial product distribution; advisory, equity and debt broking, and estate planning services; financial products management; and lending and investment services. The company also provides asset management solutions, including mutual funds, alternative asset funds, portfolio management, and related services. It serves professionals, industrialists, corporate treasuries, senior executives, large traders, funds, endowments, family offices, and entrepreneurs. The company was formerly known as IIFL Wealth Management Limited and changed its name to 360 One Wam Limited in January 2023. 360 One Wam Limited was incorporated in 2008 and is based in Mumbai, India.","INR","Financial Services","Asset Management","Asset Management","NSE","NSE India","India",NULL,"Mumbai","400013","https://www.360.one","258740224000.0","1"
"3IINFOLTD.NS","3i Infotech Limited","3i Infotech Limited provides IP based software solutions in India, the United States, the United Kingdom, the Middle East, Africa, South Asia, the Asia Pacific, and internationally. The company offers NuRe Edge, a cloud-based secure internet and web gateway for users accessing SaaS applications or other websites on the internet; NuRe desk that provides end user computing solutions; NuRe 3i, a solution that designs, constructs, and manages cloud solutions, including maintenance of crucial operational applications supporting the eco-system in the cloud; NuRe 3i+, a cloud converged infrastructure that allows customers to consolidate middleware and application workloads; NuRe Campus, a cloud-based enterprise automation system for higher education institutions; and NuRe Velocity, an ecosystem of people, processes, and technology that supports back office, front office, and middle-order processes. It also offers NuRe Cybersecurity Operations, which provides a wide range of services for organization's computing environment, including gap analysis, application security suite, network security suite, security operation center, virtual chief information security officer, and cyber bay; EnGRC that integrates risk management, compliance, and advancing ESG goals within enterprise operations; enterprise services, such as digital application management and digital infrastructure management, and oracle cloud services; digital business services that include digital business process services and digital collection services; future tech services, such as 5G tech solution and service enabler, and lab and cognitive services; intelligent automation, testing and quality assurance, and data and analytics. The company serves customers in banking, insurance, media and entertainment, capital markets, asset and wealth management, government, manufacturing, retail, distribution, telecom, and healthcare industries. 3i Infotech Limited was incorporated in 1993 and is based in Navi Mumbai, India.","INR","Technology","Information Technology Services","Information Technology Services","NSE","NSE India","India",NULL,"Navi Mumbai","400 706","https://www.3i-infotech.com","7662562304.0","1"
"3MINDIA.NS","3M India Limited","3M India Limited manufactures and trades in various products for health care, manufacturing, automotive, safety, electronics, energy, commercial solutions, transportation, and design and construction industries in India. The company operates through four segments: Safety and Industrial, Health Care, Transportation and Electronics, and Consumer. The Safety and Industrial segment offers vinyl, polyester, foil, and specialty industrial tapes and adhesives, such as scotch masking tapes, scotch filament and packaging tapes, functional and decorative graphics, abrasion-resistant films, masking tapes, and other specialty materials. This segment serves industrial, electrical, vehicle maintenance, and safety markets. The Health Care segment provides medical and surgical supplies; medical devices; skin and wound care, as well as infection prevention products and solutions; drug delivery systems; dental and orthodontic products; and food safety products. The Transportation and Electronics segment offers personal protection products, brand and asset protection solutions, border control products, passive fire protection products for industries and commercial establishments, track and trace products, and cleaning and hygiene products for the hospitality industry, as well as traffic signs, and pavement marking and vehicle registration products and services; films, inks, and digital signage products; wall and glass cladding products; and projection systems, computer and ATM-screen privacy filters, and brightness enhancement films. The Consumer segment provides home and office tapes, adhesives, and packaging protection platforms under the Scotch brand; note pads, dispensers, flagging solution, and labels under the Post-it brand; and stain protection products under the Scotchguard brand. It also exports its products. 3M India Limited was incorporated in 1987 and is based in Bengaluru, India. 3M India Limited operates as a subsidiary of 3M Company.","INR","Industrials","Conglomerates","Conglomerates","NSE","NSE India","India",NULL,"Bengaluru","560001","https://www.3mindia.in","341631041536.0","1"
"3PLAND.NS","3P Land Holdings Limited",NULL,"INR",NULL,NULL,NULL,"NSE","NSE India","India",NULL,NULL,NULL,NULL,NULL,"1"
